time,iter,loss,norm,elo,lr,dt,tok/sec,mfu
08/20/24 06:44:19,15911,0.646096,0.089254,1214.42,1.6750e-04,1362.83,48088.24,12.59
08/20/24 06:44:21,15912,0.643855,0.099119,1214.42,1.6747e-04,1366.14,47971.68,12.61
08/20/24 06:44:22,15913,0.630818,0.122736,1214.42,1.6744e-04,1366.25,47967.75,12.64
08/20/24 06:44:24,15914,0.636624,0.097492,1214.42,1.6741e-04,1361.98,48118.01,12.66
08/20/24 06:44:25,15915,0.642331,0.101298,1215.36,1.6738e-04,1547.44,42351.36,12.53
08/20/24 06:44:26,15916,0.640066,0.106434,1215.36,1.6735e-04,1364.92,48014.46,12.56
08/20/24 06:44:28,15917,0.632289,0.111961,1215.36,1.6732e-04,1365.02,48010.88,12.59
08/20/24 06:44:29,15918,0.637924,0.114325,1215.36,1.6729e-04,1366.69,47952.30,12.62
08/20/24 06:44:31,15919,0.632995,0.099664,1215.36,1.6726e-04,1366.97,47942.45,12.64
08/20/24 06:44:32,15920,0.641074,0.111621,1215.36,1.6723e-04,1555.60,42129.11,12.51
08/20/24 06:44:33,15921,0.639820,0.094661,1215.36,1.6720e-04,1364.41,48032.59,12.54
08/20/24 06:44:35,15922,0.635264,0.099564,1215.36,1.6717e-04,1364.13,48042.21,12.58
08/20/24 06:44:36,15923,0.649744,0.109083,1215.36,1.6714e-04,1366.28,47966.76,12.60
08/20/24 06:44:38,15924,0.642522,0.106730,1215.36,1.6711e-04,1367.20,47934.29,12.63
08/20/24 06:44:39,15925,0.651877,0.127197,1231.24,1.6708e-04,1554.53,42158.17,12.49
08/20/24 06:44:40,15926,0.647601,0.105877,1231.24,1.6705e-04,1366.45,47960.86,12.53
08/20/24 06:44:42,15927,0.641970,0.116841,1231.24,1.6702e-04,1362.77,48090.24,12.56
08/20/24 06:44:43,15928,0.642063,0.117662,1231.24,1.6699e-04,1365.98,47977.20,12.59
08/20/24 06:44:45,15929,0.639620,0.111358,1231.24,1.6696e-04,1367.48,47924.53,12.62
08/20/24 06:44:46,15930,0.645693,0.121991,1231.24,1.6693e-04,1556.46,42105.75,12.48
08/20/24 06:44:47,15931,0.638419,0.112153,1231.24,1.6690e-04,1365.70,47987.09,12.52
08/20/24 06:44:49,15932,0.644648,0.102878,1231.24,1.6687e-04,1363.29,48072.06,12.56
08/20/24 06:44:50,15933,0.622927,0.112688,1231.24,1.6684e-04,1366.14,47971.56,12.59
08/20/24 06:44:52,15934,0.641446,0.108290,1231.24,1.6681e-04,1365.31,48000.99,12.61
08/20/24 06:44:53,15935,0.637017,0.138057,1234.28,1.6678e-04,1554.74,42152.31,12.48
08/20/24 06:44:54,15936,0.654305,0.157257,1234.28,1.6675e-04,1363.96,48048.30,12.52
08/20/24 06:44:56,15937,0.647882,0.103869,1234.28,1.6672e-04,1366.38,47963.08,12.55
08/20/24 06:44:57,15938,0.646928,0.101310,1234.28,1.6669e-04,1365.97,47977.46,12.58
08/20/24 06:44:59,15939,0.655264,0.112467,1234.28,1.6666e-04,1365.24,48003.28,12.61
08/20/24 06:45:00,15940,0.645540,0.117749,1237.97,1.6663e-04,1598.54,40997.46,12.45
08/20/24 06:45:02,15941,0.632501,0.100145,1237.97,1.6660e-04,1366.06,47974.60,12.49
08/20/24 06:45:03,15942,0.639863,0.104957,1237.97,1.6657e-04,1365.18,48005.54,12.53
08/20/24 06:45:04,15943,0.648401,0.095817,1237.97,1.6654e-04,1362.93,48084.74,12.56
08/20/24 06:45:06,15944,0.634647,0.109363,1237.97,1.6651e-04,1366.37,47963.45,12.59
08/20/24 06:45:07,15945,0.646939,0.119216,1228.03,1.6648e-04,1553.75,42179.17,12.46
08/20/24 06:45:09,15946,0.641208,0.106092,1228.03,1.6645e-04,1365.14,48006.87,12.50
08/20/24 06:45:10,15947,0.641043,0.112760,1228.03,1.6642e-04,1365.80,47983.62,12.54
08/20/24 06:45:11,15948,0.641690,0.121531,1228.03,1.6639e-04,1363.82,48053.33,12.57
08/20/24 06:45:13,15949,0.645480,0.111353,1228.03,1.6636e-04,1363.39,48068.44,12.60
08/20/24 06:45:14,15950,0.632400,0.117566,1231.13,1.6633e-04,1583.88,41376.79,12.45
08/20/24 06:45:16,15951,0.650031,0.142576,1231.13,1.6630e-04,1366.55,47957.42,12.49
08/20/24 06:45:17,15952,0.643628,0.125619,1231.13,1.6627e-04,1361.59,48131.88,12.53
08/20/24 06:45:18,15953,0.645005,0.125624,1231.13,1.6624e-04,1363.33,48070.65,12.57
08/20/24 06:45:20,15954,0.649676,0.121855,1231.13,1.6621e-04,1362.51,48099.29,12.60
08/20/24 06:45:21,15955,0.637660,0.104929,1231.10,1.6618e-04,1601.28,40927.26,12.43
08/20/24 06:45:23,15956,0.649279,0.106274,1231.10,1.6615e-04,1364.71,48022.04,12.48
08/20/24 06:45:24,15957,0.645761,0.126564,1231.10,1.6612e-04,1363.64,48059.52,12.52
08/20/24 06:45:25,15958,0.632236,0.102497,1231.10,1.6609e-04,1361.87,48121.94,12.56
08/20/24 06:45:27,15959,0.656439,0.110157,1231.10,1.6606e-04,1365.69,47987.62,12.59
08/20/24 06:45:28,15960,0.628180,0.111445,1240.38,1.6603e-04,1612.88,40632.80,12.42
08/20/24 06:45:30,15961,0.637143,0.099695,1240.38,1.6600e-04,1365.09,48008.45,12.46
08/20/24 06:45:31,15962,0.646244,0.109648,1240.38,1.6597e-04,1367.44,47925.99,12.50
08/20/24 06:45:32,15963,0.651658,0.114141,1240.38,1.6594e-04,1364.15,48041.69,12.54
08/20/24 06:45:34,15964,0.645159,0.092115,1240.38,1.6591e-04,1360.93,48155.14,12.57
08/20/24 06:45:35,15965,0.641879,0.105791,1234.56,1.6588e-04,1561.53,41968.97,12.44
08/20/24 06:45:37,15966,0.630606,0.100932,1234.56,1.6585e-04,1361.29,48142.61,12.49
08/20/24 06:45:38,15967,0.651707,0.129269,1234.56,1.6582e-04,1363.92,48049.66,12.52
08/20/24 06:45:39,15968,0.649866,0.114394,1234.56,1.6579e-04,1365.00,48011.88,12.56
08/20/24 06:45:41,15969,0.639220,0.101666,1234.56,1.6576e-04,1365.17,48005.65,12.59
08/20/24 06:45:42,15970,0.642402,0.118669,1234.50,1.6573e-04,1565.28,41868.48,12.45
08/20/24 06:45:44,15971,0.633598,0.095129,1234.50,1.6570e-04,1366.70,47951.89,12.49
08/20/24 06:45:45,15972,0.637613,0.106007,1234.50,1.6567e-04,1367.09,47938.24,12.53
08/20/24 06:45:46,15973,0.652023,0.115047,1234.50,1.6564e-04,1364.66,48023.57,12.56
08/20/24 06:45:48,15974,0.635283,0.111199,1234.50,1.6561e-04,1363.48,48065.38,12.59
08/20/24 06:45:49,15975,0.655905,0.091261,1238.54,1.6558e-04,1558.34,42055.11,12.46
