time,iter,loss,norm,elo,lr,dt,tok/sec,mfu
08/19/24 20:33:53, 5212,0.758546,0.157990,631.93,5.3358e-04,1364.98,48012.31,12.45
08/19/24 20:33:54, 5213,0.759812,0.152395,631.93,5.3355e-04,1366.66,47953.51,12.49
08/19/24 20:33:55, 5214,0.741589,0.170694,631.93,5.3353e-04,1367.56,47921.99,12.53
08/19/24 20:33:57, 5215,0.750188,0.130033,633.86,5.3350e-04,1591.25,41185.18,12.38
08/19/24 20:33:58, 5216,0.760343,0.150784,633.86,5.3348e-04,1366.42,47961.85,12.43
08/19/24 20:34:00, 5217,0.750142,0.128629,633.86,5.3346e-04,1362.71,48092.41,12.47
08/19/24 20:34:01, 5218,0.747022,0.135414,633.86,5.3343e-04,1364.75,48020.56,12.51
08/19/24 20:34:02, 5219,0.754247,0.141533,633.86,5.3341e-04,1366.02,47975.96,12.55
08/19/24 20:34:04, 5220,0.758127,0.143307,633.86,5.3338e-04,1638.12,40006.80,12.36
08/19/24 20:34:05, 5221,0.752001,0.132574,633.86,5.3336e-04,1368.20,47899.29,12.41
08/19/24 20:34:07, 5222,0.752833,0.130808,633.86,5.3333e-04,1364.71,48022.06,12.46
08/19/24 20:34:08, 5223,0.748022,0.181885,633.86,5.3331e-04,1363.31,48071.12,12.50
08/19/24 20:34:10, 5224,0.749243,0.127301,633.86,5.3328e-04,1365.20,48004.73,12.53
08/19/24 20:34:11, 5225,0.752161,0.140358,632.63,5.3326e-04,1596.01,41062.28,12.38
08/19/24 20:34:13, 5226,0.767218,0.153576,632.63,5.3323e-04,1366.03,47975.55,12.43
08/19/24 20:34:14, 5227,0.748820,0.132991,632.63,5.3321e-04,1362.92,48085.12,12.47
08/19/24 20:34:15, 5228,0.755869,0.148580,632.63,5.3318e-04,1368.73,47881.01,12.51
08/19/24 20:34:17, 5229,0.762077,0.142811,632.63,5.3316e-04,1367.55,47922.26,12.54
08/19/24 20:34:18, 5230,0.762905,0.145756,630.74,5.3313e-04,1601.30,40926.77,12.38
08/19/24 20:34:20, 5231,0.752411,0.131802,630.74,5.3311e-04,1365.11,48008.00,12.43
08/19/24 20:34:21, 5232,0.748314,0.150914,630.74,5.3308e-04,1367.65,47918.62,12.47
08/19/24 20:34:22, 5233,0.756666,0.145948,630.74,5.3306e-04,1366.07,47974.05,12.51
08/19/24 20:34:24, 5234,0.741836,0.150649,630.74,5.3303e-04,1364.87,48016.15,12.55
08/19/24 20:34:25, 5235,0.752345,0.156582,630.74,5.3301e-04,1665.52,39348.66,12.35
08/19/24 20:34:27, 5236,0.750903,0.116588,630.74,5.3298e-04,1366.10,47973.12,12.40
08/19/24 20:34:28, 5237,0.746875,0.150744,630.74,5.3296e-04,1366.34,47964.56,12.44
08/19/24 20:34:29, 5238,0.758020,0.139831,630.74,5.3293e-04,1364.98,48012.38,12.48
08/19/24 20:34:31, 5239,0.754121,0.133699,630.74,5.3291e-04,1366.82,47947.80,12.52
08/19/24 20:34:32, 5240,0.750939,0.140374,633.03,5.3288e-04,1603.51,40870.24,12.36
08/19/24 20:34:34, 5241,0.754552,0.138548,633.03,5.3286e-04,1363.67,48058.47,12.41
08/19/24 20:34:35, 5242,0.756667,0.122952,633.03,5.3283e-04,1366.51,47958.70,12.46
08/19/24 20:34:37, 5243,0.765564,0.128323,633.03,5.3281e-04,1366.48,47959.69,12.50
08/19/24 20:34:38, 5244,0.766707,0.139799,633.03,5.3278e-04,1364.92,48014.46,12.53
08/19/24 20:34:40, 5245,0.744836,0.114465,635.24,5.3276e-04,1623.94,40356.06,12.36
08/19/24 20:34:41, 5246,0.740401,0.118096,635.24,5.3273e-04,1368.22,47898.74,12.41
08/19/24 20:34:42, 5247,0.746282,0.144397,635.24,5.3271e-04,1363.30,48071.76,12.46
08/19/24 20:34:44, 5248,0.758233,0.168259,635.24,5.3268e-04,1362.85,48087.47,12.50
08/19/24 20:34:45, 5249,0.751582,0.138978,635.24,5.3266e-04,1366.99,47941.66,12.53
08/19/24 20:34:47, 5250,0.752557,0.173738,634.09,5.3263e-04,1606.42,40796.35,12.37
08/19/24 20:34:48, 5251,0.750918,0.165543,634.09,5.3261e-04,1364.48,48030.16,12.42
08/19/24 20:34:49, 5252,0.766038,0.185247,634.09,5.3258e-04,1362.92,48085.03,12.47
08/19/24 20:34:51, 5253,0.763780,0.171133,634.09,5.3256e-04,1364.74,48020.99,12.51
08/19/24 20:34:52, 5254,0.752744,0.239591,634.09,5.3253e-04,1364.11,48043.15,12.54
08/19/24 20:34:54, 5255,0.748354,0.161535,633.79,5.3251e-04,1652.81,39651.37,12.35
08/19/24 20:34:55, 5256,0.765868,0.267117,633.79,5.3248e-04,1366.13,47971.90,12.40
08/19/24 20:34:56, 5257,0.748720,0.150888,633.79,5.3246e-04,1365.87,47981.13,12.45
08/19/24 20:34:58, 5258,0.775765,0.508578,633.79,5.3243e-04,1363.51,48064.05,12.49
08/19/24 20:34:59, 5259,0.771554,0.327163,633.79,5.3241e-04,1364.98,48012.33,12.53
08/19/24 20:35:01, 5260,0.783140,0.591127,644.40,5.3238e-04,1598.25,41004.97,12.37
08/19/24 20:35:02, 5261,0.770923,0.331137,644.40,5.3236e-04,1368.36,47893.83,12.42
08/19/24 20:35:03, 5262,0.776254,0.499780,644.40,5.3233e-04,1365.60,47990.76,12.46
08/19/24 20:35:05, 5263,0.765782,0.190961,644.40,5.3231e-04,1365.23,48003.66,12.50
08/19/24 20:35:06, 5264,0.758610,0.328752,644.40,5.3228e-04,1364.83,48017.78,12.54
08/19/24 20:35:08, 5265,0.762975,0.279226,641.04,5.3226e-04,1590.81,41196.71,12.39
08/19/24 20:35:09, 5266,0.769334,0.287190,641.04,5.3223e-04,1369.05,47869.62,12.43
08/19/24 20:35:11, 5267,0.766962,0.181699,641.04,5.3221e-04,1367.01,47941.23,12.47
08/19/24 20:35:12, 5268,0.766072,0.214397,641.04,5.3218e-04,1367.47,47924.93,12.51
08/19/24 20:35:13, 5269,0.774429,0.178526,641.04,5.3216e-04,1365.56,47992.06,12.55
08/19/24 20:35:15, 5270,0.758276,0.163962,641.04,5.3213e-04,1592.01,41165.48,12.39
08/19/24 20:35:16, 5271,0.746225,0.178341,641.04,5.3211e-04,1369.93,47839.10,12.44
08/19/24 20:35:18, 5272,0.764275,0.186255,641.04,5.3208e-04,1363.27,48072.67,12.48
08/19/24 20:35:19, 5273,0.748052,0.142345,641.04,5.3206e-04,1366.59,47955.93,12.52
08/19/24 20:35:20, 5274,0.753064,0.181056,641.04,5.3203e-04,1365.04,48010.30,12.55
08/19/24 20:35:22, 5275,0.750979,0.141160,630.67,5.3201e-04,1560.56,41995.15,12.42
08/19/24 20:35:23, 5276,0.756755,0.293742,630.67,5.3198e-04,1363.56,48062.56,12.47
08/19/24 20:35:25, 5277,0.753392,0.145045,630.67,5.3195e-04,1361.99,48117.93,12.51
08/19/24 20:35:26, 5278,0.776614,0.720654,630.67,5.3193e-04,1366.88,47945.70,12.54
08/19/24 20:35:27, 5279,0.740328,0.163181,630.67,5.3190e-04,1365.38,47998.53,12.58
08/19/24 20:35:29, 5280,0.780082,0.373964,630.65,5.3188e-04,1548.18,42331.02,12.45
08/19/24 20:35:30, 5281,0.763472,0.226562,630.65,5.3185e-04,1365.48,47994.86,12.49
08/19/24 20:35:32, 5282,0.756556,0.237484,630.65,5.3183e-04,1365.17,48005.60,12.53
08/19/24 20:35:33, 5283,0.761906,0.291505,630.65,5.3180e-04,1366.33,47965.03,12.56
